,Date,Open,High,Low,Close,Adj Close,Volume
62,1996-03-27,4.711111,4.872222,4.711111,4.817777,3.135463,26779500.0
63,1996-03-28,4.934444,5.088888,4.933333,5.07,3.299612,33025500.0
64,1996-03-29,5.088888,5.133333,4.913333,4.975555,3.238145,23152500.0
65,1996-04-01,4.974444,5.088888,4.974444,5.044444,3.282981,12132000.0
66,1996-04-02,5.044444,5.311111,5.033333,5.221111,3.397958,32967000.0
67,1996-04-03,5.221111,5.422222,5.181111,5.218888,3.396511,16245000.0
68,1996-04-04,5.156666,5.366666,5.112222,5.352222,3.483286,42660000.0
69,1996-04-05,5.352222,5.352222,5.352222,5.352222,3.483286,0.0
70,1996-04-08,5.453333,5.637777,5.4,5.6,3.644542,49014000.0
71,1996-04-09,5.6,5.833333,5.58,5.697777,3.708177,48334500.0
72,1996-04-10,5.627777,5.727777,5.467777,5.532222,3.600431,42376500.0
73,1996-04-11,5.444444,5.534444,5.406666,5.483333,3.568615,33498000.0
74,1996-04-12,5.467777,5.538888,5.446666,5.527777,3.597539,18441000.0
75,1996-04-15,5.527777,5.633333,5.511111,5.533333,3.601154,22684500.0
76,1996-04-16,5.533333,5.753333,5.532222,5.652222,3.67853,34299000.0
77,1996-04-17,5.82,5.964444,5.778888,5.931111,3.860034,33628500.0
78,1996-04-18,6.128888,6.222222,6.068888,6.115555,3.980071,37921500.0
79,1996-04-19,6.115555,6.197777,6.055555,6.083333,3.959101,26325000.0
80,1996-04-22,6.088888,6.106666,5.888888,5.933333,3.86148,35055000.0
81,1996-04-23,5.855555,6.076666,5.844444,6.026666,3.922221,34960500.0
82,1996-04-24,6.026666,6.288888,6.166666,6.26,4.074079,23674500.0
83,1996-04-25,6.266666,6.266666,5.911111,5.985555,3.895467,23670000.0
84,1996-04-26,6.044444,6.2,5.978888,6.083333,3.959101,20560500.0
85,1996-04-29,6.083333,6.144444,5.935555,6.114444,3.979348,17212500.0
86,1996-04-30,6.114444,6.122222,6.0,6.053333,3.939578,13378500.0
87,1996-05-01,6.053333,6.177777,6.077777,6.138888,3.995257,5935500.0
88,1996-05-02,6.138888,6.153333,6.005555,6.135555,3.993089,19174500.0
89,1996-05-03,6.113333,6.211111,6.058888,6.082222,3.958379,24403500.0
90,1996-05-06,5.988888,6.0,5.826666,5.841111,3.801461,20434500.0
91,1996-05-07,5.841111,5.911111,5.782222,5.863333,3.815923,9841500.0
92,1996-05-08,5.863333,5.994444,5.612222,5.937777,3.864372,28692000.0
93,1996-05-09,5.877777,5.952222,5.813333,5.837777,3.79929,14679000.0
94,1996-05-10,5.837777,5.908888,5.712222,5.871111,3.820986,20101500.0
95,1996-05-13,6.0,6.211111,5.956666,6.148888,4.001765,31594500.0
96,1996-05-14,6.133333,6.533333,6.116666,6.472222,4.212194,66078000.0
97,1996-05-15,6.444444,6.466666,6.173333,6.413333,4.173869,50305500.0
98,1996-05-16,6.466666,6.576666,6.388888,6.436666,4.189055,33187500.0
99,1996-05-17,6.436666,6.436666,6.313333,6.345555,4.129758,21501000.0
100,1996-05-20,6.177777,6.211111,6.002222,6.021111,3.918606,18441000.0
101,1996-05-21,5.955555,6.054444,5.856666,5.912222,3.84774,35910000.0
102,1996-05-22,5.997777,6.111111,5.997777,6.028888,3.923669,20898000.0
103,1996-05-23,6.066666,6.098888,5.95,5.98,3.891851,20889000.0
104,1996-05-24,6.022222,6.108888,6.0,6.062222,3.945362,21708000.0
105,1996-05-27,6.022222,6.041111,5.888888,5.904444,3.842678,22122000.0
106,1996-05-28,5.822222,5.951111,5.778888,5.888888,3.832555,26806500.0
107,1996-05-29,6.022222,6.233333,6.005555,6.152222,4.003934,19197000.0
108,1996-05-30,6.152222,6.216666,6.054444,6.075555,3.95404,16020000.0
109,1996-05-31,6.075555,6.111111,6.055555,6.092222,3.964887,6705000.0
110,1996-06-03,6.111111,6.31,6.111111,6.284444,4.089986,19215000.0
111,1996-06-04,6.311111,6.365555,6.133333,6.172222,4.016951,16807500.0
112,1996-06-05,6.188888,6.198888,6.088888,6.17,4.015506,11344500.0
113,1996-06-06,6.277777,6.411111,6.266666,6.357777,4.137712,29074500.0
114,1996-06-07,6.312222,6.544444,6.312222,6.523333,4.245457,73305000.0
115,1996-06-10,6.572222,6.572222,6.456666,6.513333,4.238951,34047000.0
116,1996-06-11,6.461111,6.75,6.461111,6.654444,4.330786,60835500.0
117,1996-06-12,6.766666,6.908888,6.755555,6.836666,4.449379,59859000.0
118,1996-06-13,6.816666,6.983333,6.816666,6.962222,4.531093,95800500.0
119,1996-06-14,6.987777,7.294444,6.987777,7.266666,4.729228,179604000.0
120,1996-06-17,7.216666,7.266666,6.866666,6.915555,4.500721,179815500.0
121,1996-06-18,6.844444,7.0,6.296666,6.801111,4.426239,246838500.0
122,1996-06-19,6.644444,6.666666,6.404444,6.454444,4.200624,159619500.0
123,1996-06-20,6.368888,6.761111,6.368888,6.688888,4.353203,157018500.0
124,1996-06-21,6.622222,6.922222,6.622222,6.82,4.438532,279954000.0
125,1996-06-24,6.888888,7.2,6.888888,7.153333,4.655469,326632500.0
126,1996-06-25,7.222222,7.333333,7.028888,7.098888,4.620037,424192500.0
127,1996-06-26,7.088888,7.122222,6.938888,6.973333,4.538323,202864500.0
128,1996-06-27,6.933333,7.066666,6.866666,7.026666,4.573032,227979000.0
129,1996-06-28,7.066666,7.105555,6.942222,6.97,4.536154,131152500.0
130,1996-07-01,6.913333,6.944444,6.757777,6.804444,4.428408,181584000.0
131,1996-07-02,6.8,6.861111,6.674444,6.717777,4.372005,190984500.0
132,1996-07-03,6.733333,6.733333,6.555555,6.643333,4.323556,213259500.0
133,1996-07-04,6.588888,6.732222,6.491111,6.627777,4.313431,204102000.0
134,1996-07-05,6.705555,6.877777,6.678888,6.813333,4.434194,301122000.0
135,1996-07-08,6.887777,7.222222,6.766666,6.811111,4.46919,129073500.0
136,1996-07-09,6.76,6.808888,6.446666,6.695555,4.393366,126684000.0
137,1996-07-10,6.888888,6.911111,6.735555,6.863333,4.503456,190098000.0
138,1996-07-11,6.884444,7.066666,6.884444,6.997777,4.591672,267327000.0
139,1996-07-12,6.977777,7.055555,6.933333,6.97,4.573446,194985000.0
140,1996-07-15,6.935555,7.0,6.878888,6.973333,4.575634,162396000.0
141,1996-07-16,7.0,7.02,6.855555,6.892222,4.52241,131220000.0
